datetime,temperature,humidity,prediction
2025-12-24T17:25:32.754657,22.0,50.0,36.0
2025-12-24T19:05:29.809189,19.0,55.0,25.0
2025-12-24T19:06:49.774925,19.0,55.0,25.0
2025-12-24T19:06:59.068131,19.0,56.0,25.0
2025-12-24T19:08:22.820103,19.0,56.0,25.0
2025-12-24T19:08:32.110047,20.0,56.0,28.0
2025-12-24T19:08:41.398144,20.0,56.0,28.0
2025-12-24T19:08:50.689875,20.0,56.0,28.0
2025-12-24T19:08:59.981639,20.0,56.0,28.0
2025-12-24T19:09:09.272691,20.0,56.0,28.0
2025-12-24T19:09:18.558264,20.0,56.0,28.0
2025-12-24T19:09:27.852587,20.0,56.0,28.0
2025-12-24T19:09:37.188972,20.0,56.0,28.0
2025-12-24T19:09:46.432540,20.0,56.0,28.0
2025-12-24T19:09:55.720529,20.0,56.0,28.0
2025-12-24T19:10:05.012707,20.0,56.0,28.0
2025-12-24T19:10:14.301375,20.0,56.0,28.0
2025-12-24T19:10:23.590063,20.0,56.0,28.0
2025-12-24T19:10:32.879149,20.0,56.0,28.0
2025-12-24T19:10:42.169095,20.0,56.0,28.0
2025-12-24T19:10:51.457656,20.0,56.0,28.0
2025-12-24T19:11:00.750075,20.0,56.0,28.0
2025-12-24T19:11:10.039882,20.0,56.0,28.0
2025-12-24T19:11:19.329755,20.0,56.0,28.0
2025-12-24T19:11:28.619257,20.0,56.0,28.0
2025-12-24T19:11:37.909721,20.0,56.0,28.0
2025-12-24T19:11:47.196698,20.0,56.0,28.0
2025-12-24T19:11:56.489238,20.0,56.0,28.0
2025-12-24T19:12:05.777523,20.0,56.0,28.0
2025-12-24T19:12:15.069096,20.0,56.0,28.0
2025-12-24T19:12:24.359833,20.0,56.0,28.0
2025-12-24T19:12:33.647008,20.0,56.0,28.0
2025-12-24T19:12:42.935935,20.0,56.0,28.0
2025-12-24T19:12:52.229313,20.0,56.0,28.0
2025-12-24T19:13:01.518747,20.0,56.0,28.0
2025-12-24T19:13:10.805355,20.0,56.0,28.0
2025-12-24T19:13:20.096209,20.0,56.0,28.0
2025-12-24T19:13:29.385732,20.0,56.0,28.0
2025-12-24T19:13:38.683044,20.0,56.0,28.0
2025-12-24T19:13:47.964871,20.0,56.0,28.0
2025-12-24T19:13:57.255429,20.0,56.0,28.0
2025-12-24T19:14:06.549531,21.0,57.0,30.0
2025-12-24T19:14:15.836320,20.0,56.0,28.0
2025-12-24T19:14:25.128087,21.0,57.0,30.0
2025-12-24T19:14:34.415560,21.0,56.0,31.0
2025-12-24T19:14:43.703463,21.0,56.0,31.0
2025-12-24T19:14:52.991820,21.0,56.0,31.0
2025-12-24T19:15:02.286929,21.0,56.0,31.0
2025-12-24T19:15:11.572205,21.0,56.0,31.0
2025-12-24T19:15:20.862525,21.0,56.0,31.0
2025-12-24T19:29:43.973528,21.0,56.0,31.0
2025-12-24T19:29:53.258180,23.0,54.0,38.0
2025-12-24T19:30:02.550469,23.0,54.0,38.0
2025-12-24T19:30:11.837700,23.0,54.0,38.0
2025-12-24T19:30:21.127031,23.0,54.0,38.0
2025-12-24T19:30:30.419081,23.0,54.0,38.0
2025-12-24T19:30:39.711207,23.0,54.0,38.0
2025-12-24T19:30:49.006933,23.0,54.0,38.0
2025-12-24T19:30:58.288474,23.0,54.0,38.0
2025-12-24T19:31:07.589488,23.0,54.0,38.0
2025-12-24T19:31:16.866016,23.0,54.0,38.0
2025-12-24T19:31:26.156249,23.0,54.0,38.0
2025-12-24T19:31:35.445345,23.0,55.0,38.0
2025-12-24T19:31:44.733935,23.0,55.0,38.0
2025-12-24T19:31:54.024878,23.0,58.0,36.0
2025-12-24T19:32:03.312122,23.0,59.0,36.0
2025-12-24T19:32:12.603680,23.0,58.0,36.0
2025-12-24T19:32:21.898130,23.0,64.0,34.0
2025-12-24T19:32:31.189881,23.0,63.0,35.0
2025-12-24T19:32:40.480226,23.0,66.0,34.0
2025-12-24T19:32:49.766442,23.0,64.0,34.0
2025-12-24T19:32:59.056959,23.0,62.0,35.0
2025-12-24T19:33:08.348239,23.0,61.0,35.0
2025-12-24T19:33:17.636764,23.0,59.0,36.0
2025-12-24T19:33:26.925800,23.0,60.0,36.0
2025-12-24T19:33:36.215506,23.0,61.0,35.0
2025-12-24T19:33:45.505308,23.0,60.0,36.0
2025-12-24T19:33:54.793609,23.0,58.0,36.0
2025-12-24T19:34:04.084939,23.0,58.0,36.0
2025-12-24T19:34:13.375430,22.0,57.0,34.0
2025-12-24T19:34:22.665076,22.0,56.0,34.0
2025-12-24T19:34:31.954814,22.0,55.0,34.0
2025-12-24T19:34:41.244842,22.0,55.0,34.0
2025-12-24T19:34:50.536945,23.0,55.0,38.0
2025-12-24T19:34:59.824315,22.0,54.0,35.0
2025-12-24T19:35:09.119594,22.0,54.0,35.0
2025-12-24T19:35:18.410438,22.0,54.0,35.0
2025-12-24T19:35:27.704316,22.0,58.0,33.0
2025-12-24T19:35:36.992429,22.0,59.0,33.0
2025-12-24T19:35:46.289134,23.0,60.0,36.0
2025-12-24T19:35:55.569949,22.0,59.0,33.0
2025-12-24T19:36:04.861356,23.0,58.0,36.0
2025-12-24T19:36:14.147515,23.0,57.0,37.0
2025-12-24T19:39:40.438688,23.0,57.0,37.0
2025-12-24T19:39:49.728322,22.0,54.0,35.0
2025-12-24T19:39:59.016461,23.0,54.0,38.0
2025-12-24T19:40:08.307840,23.0,54.0,38.0
2025-12-24T19:40:17.597897,23.0,55.0,38.0
2025-12-24T19:40:26.887809,23.0,54.0,38.0
2025-12-24T19:41:11.705320,23.0,55.0,38.0
2025-12-24T19:41:27.609095,23.0,54.0,38.0
2025-12-24T19:49:54.307329,23.0,54.0,38.0
2025-12-24T19:50:03.596718,23.0,54.0,38.0
2025-12-24T19:50:24.215049,23.0,55.0,38.0
2025-12-24T19:50:33.508217,23.0,55.0,38.0
2025-12-24T19:50:42.798942,23.0,55.0,38.0
2025-12-24T19:51:03.412491,23.0,55.0,38.0
2025-12-24T19:51:12.704703,23.0,54.0,38.0
2025-12-24T19:51:21.996223,23.0,54.0,38.0
2025-12-24T19:51:31.286325,23.0,54.0,38.0
2025-12-24T19:51:40.580023,23.0,54.0,38.0
2025-12-24T19:51:49.873335,23.0,54.0,38.0
2025-12-24T19:51:59.159186,23.0,54.0,38.0
2025-12-24T19:52:08.445213,23.0,54.0,38.0
2025-12-24T19:52:17.735508,23.0,54.0,38.0
2025-12-24T19:52:27.022425,23.0,54.0,38.0
2025-12-24T19:52:36.313519,23.0,54.0,38.0
2025-12-24T19:52:45.602186,23.0,54.0,38.0
2025-12-24T19:54:23.413801,23.0,54.0,38.0
2025-12-24T19:54:32.671441,23.0,53.0,38.0
2025-12-24T19:54:41.965462,23.0,53.0,38.0
2025-12-24T19:55:36.002872,23.0,53.0,38.0
2025-12-24T19:55:45.267629,23.0,53.0,38.0
2025-12-24T19:56:07.863594,23.0,53.0,38.0
2026-01-05T11:34:57.187746,0.0,0.0,5.0
